model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run
RF - Timbre,val,0.51640625,0.5067604936135099,,,513364,,10.429385050000064,
RF - Timbre,test,0.5075,0.4993128670350898,,,513364,,10.429385050000064,
RF - Harmony,val,0.38984375,0.37805068852101775,,,612640,,7.505771946999971,
RF - Harmony,test,0.39,0.37987722079052105,,,612640,,7.505771946999971,
RF - Rhythm,val,0.3546875,0.34455380616547976,,,565090,,18.538669709000033,
RF - Rhythm,test,0.365,0.3584670795546291,,,565090,,18.538669709000033,
RF - Combined,val,0.53046875,0.5224094365046641,,,480758,,22.55052151899997,
RF - Combined,test,0.52125,0.514454599869707,,,480758,,22.55052151899997,
MLP - Combined,val,0.53984375,0.5277756353840048,,,365960,365960,5.597723873999939,14
MLP - Combined,test,0.52875,0.521975466696204,,,365960,365960,5.597723873999939,14
