cnn_weight,handcrafted_weight,accuracy,f1_macro
0.0,1.0,0.53984375,0.5277756353840048
0.05,0.95,0.54609375,0.5349290543882799
0.1,0.9,0.553125,0.5421547345287692
0.15000000000000002,0.85,0.56171875,0.5511823771926221
0.2,0.8,0.5703125,0.559544568924502
0.25,0.75,0.58046875,0.569638633077016
0.30000000000000004,0.7,0.59140625,0.5807384143191027
0.35000000000000003,0.6499999999999999,0.59921875,0.5890970253468385
0.4,0.6,0.61015625,0.6009431819066395
0.45,0.55,0.61953125,0.6111469113189111
0.5,0.5,0.6234375,0.6148490718706294
0.55,0.44999999999999996,0.63046875,0.6218803575382594
0.6000000000000001,0.3999999999999999,0.6328125,0.6242996003285393
0.65,0.35,0.6359375,0.627515719043457
0.7000000000000001,0.29999999999999993,0.64609375,0.6374758211574407
0.75,0.25,0.64609375,0.6380074490870681
0.8,0.19999999999999996,0.65,0.6425168993341919
0.8500000000000001,0.1499999999999999,0.65390625,0.6466869778235477
0.9,0.09999999999999998,0.65546875,0.6484193828674835
0.9500000000000001,0.04999999999999993,0.65703125,0.6505844444902315
1.0,0.0,0.65703125,0.6506685353230935
