model,epoch,train_loss,train_acc,val_acc,val_f1,lr
Fine-tuned AST - Segment Averaging (partial),1,1.4794,0.5136,0.6383,0.6309,2.00e-05
Fine-tuned AST - Segment Averaging (partial),2,1.1724,0.6361,0.6656,0.6627,2.00e-05
Fine-tuned AST - Segment Averaging (partial),3,1.105,0.6617,0.668,0.6648,2.00e-05
Fine-tuned AST - Segment Averaging (partial),4,1.0525,0.6805,0.6773,0.6687,2.00e-05
Fine-tuned AST - Segment Averaging (partial),5,1.0097,0.699,0.6914,0.6906,2.00e-05
Fine-tuned AST - Segment Averaging (partial),6,0.9638,0.7157,0.6891,0.6904,2.00e-05
Fine-tuned AST - Segment Averaging (partial),7,0.9239,0.7352,0.6828,0.6796,2.00e-05
Fine-tuned AST - Segment Averaging (partial),8,0.878,0.7532,0.682,0.6802,2.00e-05
Fine-tuned AST - Segment Averaging (partial),9,0.8305,0.779,0.6961,0.6948,2.00e-05
Fine-tuned AST - Segment Averaging (partial),10,0.7902,0.7979,0.6883,0.6867,2.00e-05
Fine-tuned AST - Segment Averaging (partial),11,0.7412,0.827,0.6953,0.6919,2.00e-05
Fine-tuned AST - Segment Averaging (partial),12,0.6901,0.8528,0.6961,0.6949,2.00e-05
Fine-tuned AST - Segment Averaging (partial),13,0.6457,0.873,0.6789,0.6769,2.00e-05
Fine-tuned AST - Segment Averaging (partial),14,0.5962,0.9007,0.6922,0.6904,2.00e-05
Fine-tuned AST - Segment Averaging (partial),15,0.5524,0.9201,0.6781,0.6771,2.00e-05
Fine-tuned AST - Segment Averaging (partial),16,0.5131,0.938,0.6813,0.6802,1.00e-05
Fine-tuned AST - Segment Averaging (partial),17,0.4667,0.9551,0.6797,0.6793,1.00e-05
Fine-tuned AST - Segment Averaging (partial),18,0.4499,0.965,0.6789,0.6774,1.00e-05
Fine-tuned AST - Segment Averaging (partial),19,0.4346,0.9717,0.6781,0.6789,1.00e-05
